Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]"
2018,YR2018,Uganda,UGA,41515395
2018,YR2018,Tunisia,TUN,11933041
2018,YR2018,Cameroon,CMR,25076747
2018,YR2018,Zimbabwe,ZWE,15052184
2018,YR2018,Libya,LBY,6477793
2018,YR2018,Senegal,SEN,15574909
2018,YR2018,Zambia,ZMB,17835893
2018,YR2018,Sudan,SDN,41999059
2019,YR2019,"Egypt, Arab Rep.",EGY,105618671
2019,YR2019,Nigeria,NGA,203304492
2019,YR2019,South Africa,ZAF,58087055
2019,YR2019,Algeria,DZA,42705368
2019,YR2019,Ethiopia,ETH,114120594
2019,YR2019,Morocco,MAR,36304408
2019,YR2019,Kenya,KEN,50951450
2019,YR2019,Angola,AGO,32353588
2019,YR2019,Tanzania,TZA,59872579
2019,YR2019,Cote d'Ivoire,CIV,26147551
2019,YR2019,Ghana,GHA,31522290
2019,YR2019,"Congo, Dem. Rep.",COD,89906890
2019,YR2019,Uganda,UGA,42949080
2019,YR2019,Tunisia,TUN,12049314
2019,YR2019,Cameroon,CMR,25782341
2019,YR2019,Zimbabwe,ZWE,15354608
2019,YR2019,Libya,LBY,6569088
2019,YR2019,Senegal,SEN,16000781
2019,YR2019,Zambia,ZMB,18380477
2019,YR2019,Sudan,SDN,43232093
2020,YR2020,"Egypt, Arab Rep.",EGY,107465134
2020,YR2020,Nigeria,NGA,208327405
2020,YR2020,South Africa,ZAF,58801927
2020,YR2020,Algeria,DZA,43451666
2020,YR2020,Ethiopia,ETH,117190911
2020,YR2020,Morocco,MAR,36688772
2020,YR2020,Kenya,KEN,51985780
2020,YR2020,Angola,AGO,33428486
2020,YR2020,Tanzania,TZA,61704518
2020,YR2020,Cote d'Ivoire,CIV,26811790
2020,YR2020,Ghana,GHA,32180401
2020,YR2020,"Congo, Dem. Rep.",COD,92853164
2020,YR2020,Uganda,UGA,44404611
2020,YR2020,Tunisia,TUN,12161723
2020,YR2020,Cameroon,CMR,26491087
2020,YR2020,Zimbabwe,ZWE,15669666
2020,YR2020,Libya,LBY,6653942
2020,YR2020,Senegal,SEN,16436120
2020,YR2020,Zambia,ZMB,18927715
2020,YR2020,Sudan,SDN,44440486
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/28/2024,,,,
